City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Grindavik,IS,2022-05-28 04:29:29,63.8424,-22.4338,46.87,93,75,13.8
181,Nikolskoye,RU,2022-05-28 04:29:29,59.7035,30.7861,51.87,94,100,1.9
182,Placido De Castro,BR,2022-05-28 04:29:30,-10.3353,-67.1856,72.37,92,47,1.41
183,Taua,BR,2022-05-28 04:29:30,-5.9667,-40.3,73.2,70,58,11.92
184,Agadez,NE,2022-05-28 04:29:30,19.75,10.25,85.64,12,0,7.38
185,Fairbanks,US,2022-05-28 04:28:56,64.8378,-147.7164,71.6,22,0,11.5
186,Pevek,RU,2022-05-28 04:30:31,69.7008,170.3133,30.49,79,50,11.12
187,Nandura,IN,2022-05-28 04:30:31,20.8333,76.45,93.51,36,4,16.11
188,Guanica,PR,2022-05-28 04:30:31,17.9716,-66.908,77.92,84,66,5.84
189,Cabo San Lucas,MX,2022-05-28 04:29:18,22.8909,-109.9124,81.7,72,3,10.76
190,Castro,BR,2022-05-28 04:27:35,-24.7911,-50.0119,56.95,80,24,3.0
191,Sao Filipe,CV,2022-05-28 04:30:31,14.8961,-24.4956,72.64,83,24,3.62
192,Egvekinot,RU,2022-05-28 04:30:32,66.3167,-179.1667,41.38,69,96,6.33
193,Namibe,AO,2022-05-28 04:30:32,-15.1961,12.1522,64.09,85,2,7.09
194,Haines Junction,CA,2022-05-28 04:30:32,60.7522,-137.5108,55.35,47,38,12.66
195,Filingue,NE,2022-05-28 04:30:33,14.3521,3.3168,88.32,43,22,14.88
196,Yar-Sale,RU,2022-05-28 04:30:33,66.8333,70.8333,59.68,38,54,15.68
197,El Jicaro,GT,2022-05-28 04:30:33,14.9167,-89.9,76.14,91,97,1.68
198,Salalah,OM,2022-05-28 04:27:27,17.0151,54.0924,86.09,74,75,2.3
199,Ardakan,IR,2022-05-28 04:30:34,32.31,54.0175,79.07,12,0,7.99
200,Carutapera,BR,2022-05-28 04:30:34,-1.195,-46.02,73.44,94,71,2.68
201,Odweyne,SO,2022-05-28 04:30:34,9.4092,45.064,76.82,56,94,15.21
202,Broome,US,2022-05-28 04:30:34,42.2506,-75.833,65.61,94,75,4.61
203,Lompoc,US,2022-05-28 04:28:38,34.6391,-120.4579,60.01,79,0,9.22
204,Ponta Do Sol,PT,2022-05-28 04:30:35,32.6667,-17.1,66.83,72,54,4.03
205,Shimoda,JP,2022-05-28 04:30:35,34.6667,138.95,77.36,54,46,23.55
206,Puerto Ayora,EC,2022-05-28 04:30:36,-0.7393,-90.3518,70.56,95,95,7.0
207,Pozo Colorado,PY,2022-05-28 04:30:36,-23.4923,-58.7972,65.98,99,100,2.13
208,Havre-Saint-Pierre,CA,2022-05-28 04:30:36,50.2334,-63.5986,46.76,76,100,14.97
209,Esperance,AU,2022-05-28 04:30:36,-33.8667,121.9,67.95,43,5,12.75
210,Havoysund,NO,2022-05-28 04:30:37,70.9963,24.6622,41.23,96,100,26.53
211,Saldanha,ZA,2022-05-28 04:30:37,-33.0117,17.9442,55.45,91,1,5.75
212,Dingle,PH,2022-05-28 04:30:37,10.9995,122.6711,87.71,64,100,12.66
213,Mier,MX,2022-05-28 04:30:38,26.4333,-99.15,80.53,76,0,15.55
214,Arica,CL,2022-05-28 04:30:38,-18.475,-70.3042,64.63,72,100,5.75
215,Mineral Wells,US,2022-05-28 04:27:17,32.8085,-98.1128,76.64,49,0,9.22
216,Srednekolymsk,RU,2022-05-28 04:30:38,67.45,153.6833,50.7,35,22,3.71
217,Saskylakh,RU,2022-05-28 04:30:39,71.9167,114.0833,31.39,82,98,6.78
218,Valdivia,CL,2022-05-28 04:29:00,-39.8142,-73.2459,42.89,96,4,1.7
219,Buchanan,LR,2022-05-28 04:30:39,5.8808,-10.0467,76.12,92,65,6.33
220,Paka,MY,2022-05-28 04:30:39,4.6374,103.4368,87.73,74,40,5.75
221,Mar Del Plata,AR,2022-05-28 04:28:00,-38.0023,-57.5575,43.95,89,0,4.61
222,Caravelas,BR,2022-05-28 04:30:40,-17.7125,-39.2481,70.09,90,85,6.02
223,Tortoli,IT,2022-05-28 04:30:40,39.9256,9.6572,66.02,88,20,6.91
224,Bonoua,CI,2022-05-28 04:30:40,5.2741,-3.595,78.42,95,90,1.9
225,Micomeseng,GQ,2022-05-28 04:30:40,2.1462,10.6164,67.42,98,96,0.25
226,Hazorasp,UZ,2022-05-28 04:30:41,41.3194,61.0742,69.64,29,0,3.27
227,Bungu,TZ,2022-05-28 04:30:41,-7.6337,39.0582,69.98,92,18,6.26
228,Blagoyevo,RU,2022-05-28 04:30:41,63.3667,47.9167,55.51,58,100,10.47
229,Ribeira Grande,PT,2022-05-28 04:30:42,38.5167,-28.7,61.75,79,100,20.31
230,Fort Nelson,CA,2022-05-28 04:30:21,58.8053,-122.7002,56.79,58,75,5.75
231,Seoul,KR,2022-05-28 04:29:20,37.5683,126.9778,82.0,41,0,10.36
232,Kawhia,NZ,2022-05-28 04:31:42,-38.0651,174.8183,61.5,69,0,2.26
233,La Paz,BO,2022-05-28 04:30:03,-16.5,-68.15,40.98,56,8,4.61
234,San Rafael,AR,2022-05-28 04:31:42,-34.6177,-68.3301,40.3,57,96,2.98
235,Anadyr,RU,2022-05-28 04:31:43,64.75,177.4833,54.1,58,0,8.95
