City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
272,Cabo San Lucas,MX,22.8909,-109.9124,85.6,50,0,21.85,2022-05-30 23:22:36,clear sky
273,Rosario,AR,-32.9468,-60.6393,47.95,41,0,4.61,2022-05-30 23:19:15,clear sky
274,Chino Valley,US,34.7575,-112.4538,81.73,9,0,17.27,2022-05-30 23:23:36,clear sky
275,Kodiak,US,57.79,-152.4072,45.91,81,100,9.22,2022-05-30 23:23:37,overcast clouds
276,Port Blair,IN,11.6667,92.75,81.43,85,91,14.27,2022-05-30 23:23:37,overcast clouds
277,Wagar,SD,16.1525,36.2032,91.54,15,12,4.68,2022-05-30 23:23:37,few clouds
278,Bengkulu,ID,-3.8004,102.2655,74.66,90,47,4.03,2022-05-30 23:23:37,moderate rain
279,Tezu,IN,27.9167,96.1667,74.23,75,13,3.85,2022-05-30 23:23:38,few clouds
280,Pyaozerskiy,RU,65.8333,31.1667,47.79,87,78,7.56,2022-05-30 23:23:38,broken clouds
281,Pevek,RU,69.7008,170.3133,34.18,88,100,3.02,2022-05-30 23:23:38,overcast clouds
282,Flinders,AU,-34.5833,150.8552,58.37,60,63,15.01,2022-05-30 23:23:39,broken clouds
283,Eyl,SO,7.9803,49.8164,79.5,76,18,22.32,2022-05-30 23:23:39,few clouds
284,Vostok,RU,46.4856,135.8833,47.01,90,100,3.78,2022-05-30 23:23:39,overcast clouds
285,Severnyy,RU,50.677,36.5532,60.84,77,0,8.95,2022-05-30 23:23:39,clear sky
286,Liaozhong,CN,41.5061,122.7242,62.87,57,5,7.43,2022-05-30 23:23:40,clear sky
287,Mehamn,NO,71.0357,27.8492,40.91,66,5,7.52,2022-05-30 23:23:40,clear sky
288,Payo,ID,-3.7508,103.6372,71.37,98,67,1.79,2022-05-30 23:23:40,moderate rain
289,High Level,CA,58.5169,-117.136,66.31,27,40,11.5,2022-05-30 23:20:05,scattered clouds
290,Raudeberg,NO,61.9875,5.1352,47.86,89,34,8.84,2022-05-30 23:23:41,scattered clouds
291,Booue,GA,-0.0921,11.9385,73.85,96,100,0.87,2022-05-30 23:23:41,moderate rain
292,Yerbogachen,RU,61.2767,108.0108,53.92,49,85,8.19,2022-05-30 23:23:41,overcast clouds
293,Outjo,NA,-20.1167,16.15,58.55,37,3,9.62,2022-05-30 23:23:41,clear sky
294,Arman,RU,59.7,150.1667,50.02,68,100,2.01,2022-05-30 23:23:42,overcast clouds
295,Vestmanna,FO,62.1564,-7.1664,43.72,81,100,6.91,2022-05-30 23:23:42,overcast clouds
296,Sergeyevka,KZ,53.88,67.4158,55.22,90,100,9.17,2022-05-30 23:23:42,light rain
