City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Ixtapa,MX,81.63,clear sky,20.7,-105.2,hotel la terminal
405,Bajah,YE,78.98,broken clouds,13.8141,44.6301,باجة
406,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
407,Morant Bay,JM,85.71,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
408,Bhuj,IN,77.9,few clouds,23.2667,69.6667,Regenta Resort Bhuj
415,Dicabisagan,PH,81.73,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
417,Jaspur,IN,82.71,clear sky,29.2833,78.8167,ROYAL LAWNS JASPUR
420,Gainesville,US,82.94,clear sky,29.6516,-82.3248,Wyndham Garden Gainesville
422,Khorramshahr,IR,87.75,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
423,Kulhudhuffushi,MV,78.87,moderate rain,6.6221,73.07,Haajy Guest House 1
426,Vega De Alatorre,MX,86.11,overcast clouds,20.0333,-96.6333,Hotel D Luxe
427,Bonthe,SL,79.05,moderate rain,7.5264,-12.505,Bonthe Holiday Village
430,Denpasar,ID,76.66,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
